Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Week_Number,Year,Month,Month_Name,Day_of_Week,Quarter,Season,Shipping Days
2017-12-09,2017-12-13,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,49,2017,12,December,Saturday,4,Winter,4
2018-07-16,2018-07-18,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,29,2018,7,July,Monday,3,Summer,2
2016-09-25,2016-09-30,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,38,2016,9,September,Sunday,3,Autumn,5
2017-01-16,2017-01-20,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,3,2017,1,January,Monday,1,Winter,4
2017-01-16,2017-01-20,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,2017,1,January,Monday,1,Winter,4
2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,37,2016,9,September,Saturday,3,Autumn,4
2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,37,2016,9,September,Saturday,3,Autumn,4
2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,37,2016,9,September,Saturday,3,Autumn,4
2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,37,2016,9,September,Saturday,3,Autumn,4
2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,37,2016,9,September,Saturday,3,Autumn,4
2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,37,2016,9,September,Saturday,3,Autumn,4
2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,Lumber Crayons,15.76,37,2016,9,September,Saturday,3,Autumn,4
2018-10-19,2018-10-23,Second Class,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,Easy-staple paper,29.472,42,2018,10,October,Friday,4,Autumn,4
2017-12-08,2017-12-10,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,GE 30524EE4,1097.544,49,2017,12,December,Friday,4,Winter,2
2017-12-08,2017-12-10,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,49,2017,12,December,Friday,4,Winter,2
2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,52,2016,12,December,Tuesday,4,Winter,4
2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,52,2016,12,December,Tuesday,4,Winter,4
2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,52,2016,12,December,Tuesday,4,Winter,4
2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,52,2016,12,December,Tuesday,4,Winter,4
2018-09-10,2018-09-15,Standard Class,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,Panasonic Kx-TS550,147.168,37,2018,9,September,Monday,3,Autumn,5
2017-07-17,2017-07-22,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,29,2017,7,July,Monday,3,Summer,5
2018-09-19,2018-09-23,Standard Class,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,38,2018,9,September,Wednesday,3,Autumn,4
2017-03-11,2017-03-13,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,10,2017,3,March,Saturday,1,Spring,2
2017-03-11,2017-03-13,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,10,2017,3,March,Saturday,1,Spring,2
2015-10-20,2015-10-25,Second Class,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,43,2015,10,October,Tuesday,4,Autumn,5
2017-06-20,2017-06-25,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,25,2017,6,June,Tuesday,2,Summer,5
2017-06-20,2017-06-25,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,25,2017,6,June,Tuesday,2,Summer,5
2016-04-18,2016-04-22,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,16,2016,4,April,Monday,2,Spring,4
2016-04-18,2016-04-22,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,Avery 485,75.18,16,2016,4,April,Monday,2,Spring,4
2016-04-18,2016-04-22,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,16,2016,4,April,Monday,2,Spring,4
2016-04-18,2016-04-22,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,16,2016,4,April,Monday,2,Spring,4
2017-12-11,2017-12-17,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,50,2017,12,December,Monday,4,Winter,6
2017-12-11,2017-12-17,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,50,2017,12,December,Monday,4,Winter,6
2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,24,2017,6,June,Saturday,2,Summer,1
2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,Xerox 232,32.4,24,2017,6,June,Saturday,2,Summer,1
2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,24,2017,6,June,Saturday,2,Summer,1
2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,24,2017,6,June,Saturday,2,Summer,1
2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,24,2017,6,June,Saturday,2,Summer,1
2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,Plastic Binding Combs,48.48,24,2017,6,June,Saturday,2,Summer,1
2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,24,2017,6,June,Saturday,2,Summer,1
2016-11-24,2016-11-30,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,47,2016,11,November,Thursday,4,Autumn,6
2016-11-24,2016-11-30,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,47,2016,11,November,Thursday,4,Autumn,6
2016-11-24,2016-11-30,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,Xerox 1943,146.73,47,2016,11,November,Thursday,4,Autumn,6
2016-11-24,2016-11-30,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,47,2016,11,November,Thursday,4,Autumn,6
2016-04-30,2016-05-05,Standard Class,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,17,2016,4,April,Saturday,2,Spring,5
2015-12-05,2015-12-10,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,49,2015,12,December,Saturday,4,Winter,5
2015-12-05,2015-12-10,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,49,2015,12,December,Saturday,4,Winter,5
2017-06-04,2017-06-06,First Class,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,22,2017,6,June,Sunday,2,Summer,2
2017-09-18,2017-09-23,Standard Class,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,38,2017,9,September,Monday,3,Autumn,5
2018-09-14,2018-09-17,Second Class,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,37,2018,9,September,Friday,3,Autumn,3
2016-04-26,2016-05-02,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,17,2016,4,April,Tuesday,2,Spring,6
2016-04-26,2016-05-02,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,17,2016,4,April,Tuesday,2,Spring,6
2016-04-26,2016-05-02,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,17,2016,4,April,Tuesday,2,Spring,6
2018-12-09,2018-12-11,First Class,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,Economy Binders,1.248,49,2018,12,December,Sunday,4,Winter,2
2018-12-09,2018-12-11,First Class,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,49,2018,12,December,Sunday,4,Winter,2
2018-12-09,2018-12-11,First Class,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,49,2018,12,December,Sunday,4,Winter,2
2015-11-26,2015-12-01,Second Class,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,48,2015,11,November,Thursday,4,Autumn,5
2017-06-12,2017-06-15,First Class,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,24,2017,6,June,Monday,2,Summer,3
2017-06-12,2017-06-15,First Class,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,24,2017,6,June,Monday,2,Summer,3
2015-10-12,2015-10-16,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,42,2015,10,October,Monday,4,Autumn,4
2015-10-12,2015-10-16,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,42,2015,10,October,Monday,4,Autumn,4
2016-09-03,2016-09-08,Standard Class,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,35,2016,9,September,Saturday,3,Autumn,5
2018-11-13,2018-11-16,First Class,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,46,2018,11,November,Tuesday,4,Autumn,3
2018-05-28,2018-05-30,Second Class,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,22,2018,5,May,Monday,2,Spring,2
2018-10-26,2018-11-02,Standard Class,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,43,2018,10,October,Friday,4,Autumn,7
2018-10-26,2018-11-02,Standard Class,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,Avery 511,6.16,43,2018,10,October,Friday,4,Autumn,7
2017-04-05,2017-04-10,Second Class,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,14,2017,4,April,Wednesday,2,Spring,5
2017-09-17,2017-09-22,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,37,2017,9,September,Sunday,3,Autumn,5
2017-09-17,2017-09-22,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,Panasonic Kx-TS550,73.584,37,2017,9,September,Sunday,3,Autumn,5
2017-09-17,2017-09-22,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,Xerox 1995,6.48,37,2017,9,September,Sunday,3,Autumn,5
2016-01-31,2016-02-05,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,Xerox 1999,12.96,4,2016,1,January,Sunday,1,Winter,5
2016-01-31,2016-02-05,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,4,2016,1,January,Sunday,1,Winter,5
2016-01-31,2016-02-05,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,4,2016,1,January,Sunday,1,Winter,5
2018-11-06,2018-11-12,Standard Class,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,45,2018,11,November,Tuesday,4,Autumn,6
2018-11-09,2018-11-11,Second Class,Parhena Norris,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,45,2018,11,November,Friday,4,Autumn,2
2018-06-17,2018-06-20,First Class,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,24,2018,6,June,Sunday,2,Summer,3
2017-09-06,2017-09-11,Standard Class,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,36,2017,9,September,Wednesday,3,Autumn,5
2017-08-29,2017-09-02,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,35,2017,8,August,Tuesday,3,Summer,4
2017-08-29,2017-09-02,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,35,2017,8,August,Tuesday,3,Summer,4
2017-08-29,2017-09-02,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,35,2017,8,August,Tuesday,3,Summer,4
2017-12-01,2017-12-04,Second Class,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,48,2017,12,December,Friday,4,Winter,3
2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,45,2016,11,November,Sunday,4,Autumn,4
2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,45,2016,11,November,Sunday,4,Autumn,4
2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,45,2016,11,November,Sunday,4,Autumn,4
2018-11-23,2018-11-28,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,47,2018,11,November,Friday,4,Autumn,5
2018-11-23,2018-11-28,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,47,2018,11,November,Friday,4,Autumn,5
2018-11-23,2018-11-28,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,Newell Chalk Holder,3.304,47,2018,11,November,Friday,4,Autumn,5
2016-10-15,2016-10-20,Standard Class,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,41,2016,10,October,Saturday,4,Autumn,5
2018-12-25,2018-12-30,Standard Class,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,52,2018,12,December,Tuesday,4,Winter,5
2017-11-03,2017-11-10,Standard Class,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,44,2017,11,November,Friday,4,Autumn,7
2017-11-03,2017-11-10,Standard Class,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,44,2017,11,November,Friday,4,Autumn,7
2015-08-25,2015-08-27,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,35,2015,8,August,Tuesday,3,Summer,2
2015-08-25,2015-08-27,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,35,2015,8,August,Tuesday,3,Summer,2
2015-08-25,2015-08-27,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,Xerox 1921,23.976,35,2015,8,August,Tuesday,3,Summer,2
2015-08-25,2015-08-27,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,35,2015,8,August,Tuesday,3,Summer,2
2016-03-02,2016-03-06,Standard Class,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,9,2016,3,March,Wednesday,1,Spring,4
2016-04-05,2016-04-10,Standard Class,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,14,2016,4,April,Tuesday,2,Spring,5
2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,24,2017,6,June,Monday,2,Summer,3
2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,24,2017,6,June,Monday,2,Summer,3
2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,24,2017,6,June,Monday,2,Summer,3
2017-06-12,2017-06-15,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,24,2017,6,June,Monday,2,Summer,3
